Year,City,Violent Crime Total,Murder and Nonnegligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime Total,Burglary,Larceny-Theft,Motor Vehicle Theft
"2012","Fort Wayne, IN","445","2","4","89","350","1,270","111","1,107","40"
"2013","Fort Wayne, IN"
"2014","Fort Wayne, IN","~","9","~","55","711","1,190","80","1,055","54"
"2001","Indianapolis, IN","5,545","95","92","739","4,619","4,213","793","2,439","924"
"2002","Indianapolis, IN"
"2003","Indianapolis, IN","4,988","98","83","732","4,075","4,039","866","2,262","879"
"2004","Indianapolis, IN","5,282","116","88","759","4,319","4,375","934","2,478","904"
"2005","Indianapolis, IN","5,498","102","92","774","4,530","4,570","997","2,558","979"
"2006","Indianapolis, IN"
"2007","Indianapolis, IN","3,408","85","140","994","2,189","6,814","1,036","4,620","1,128"
"2008","Indianapolis, IN","3,702","99","116","987","2,500","7,486","1,277","5,143","1,023"
"2009","Indianapolis, IN","3,558","66","99","963","2,430","6,730","1,292","4,722","659"
"2010","Indianapolis, IN"
"2011","Indianapolis, IN","3,572","88","103","882","2,499","8,008","1,421","5,732","814"
"2012","Indianapolis, IN","2,421","75","53","501","1,792","6,228","887","4,818","496"
"2013","Indianapolis, IN","~","100","~","479","1,775","6,349","737","5,069","504"
"2014","Indianapolis, IN","~","86","~","501","1,625","4,841","532","3,806","485"
"2001","Wichita, KS"
"2002","Wichita, KS","6","1","- 1","1","4","26","4","19","1"
"2003","Wichita, KS","391","15","26","87","263","2,173","181","1,923","66"
"2004","Wichita, KS","641","12","53","124","452","3,118","297","2,668","149"
"2005","Wichita, KS","577","5","40","112","420","2,304","249","1,889","157"
"2006","Wichita, KS","727","19","65","95","548","1,730","235","1,314","170"
"2007","Wichita, KS","798","34","58","155","551","2,008","332","1,500","161"
"2008","Wichita, KS","714","22","62","115","515","2,120","294","1,686","124"
"2009","Wichita, KS"
"2010","Wichita, KS","746","18","61","109","558","1,961","280","1,570","98"
"2011","Wichita, KS","745","19","77","105","544","2,059","266","1,640","143"
"2012","Wichita, KS","723","26","51","128","518","2,109","257","1,681","158"
"2013","Wichita, KS","~","22","~","91","513","2,073","238","1,651","171"
"2014","Wichita, KS","~","20","~","129","438","1,804","191","1,433","174"
"2001","Baltimore, MD","3,178","245","166","1,224","1,543","9,012","2,149","5,302","1,445"
"2003","Baltimore, MD","2,757","194","95","937","1,531","7,607","1,480","3,901","2,024"
"2004","Baltimore, MD","2,254","155","82","870","1,147","7,072","1,483","3,508","1,856"
"2005","Baltimore, MD","2,031","129","62","847","993","5,299","1,453","2,066","1,662"
"2006","Baltimore, MD","2,254","119","53","1,119","963","4,979","1,640","1,746","1,458"
"2007","Baltimore, MD","2,030","125","58","957","890","4,346","1,360","1,577","1,295"
"2008","Baltimore, MD","1,940","103","56","945","836","4,126","1,300","1,749","970"
"2009","Baltimore, MD","1,955","132","72","975","776","3,710","1,262","1,591","791"
"2010","Baltimore, MD","1,845","126","54","802","863","2,612","1,153","803","608"
"2011","Baltimore, MD","1,970","88","96","664","1,122","3,331","1,390","1,255","606"
"2012","Baltimore, MD","2,161","79","105","847","1,130","3,798","1,539","1,539","645"
"2013","Baltimore, MD","~","102","~","1,021","1,189","3,991","1,052","2,417","453"
"2014","Baltimore, MD","~","86","~","1,167","1,216","4,587","1,261","2,865","403"
"2001","Boston, MA","3,744","39","86","689","2,930","2,853","434","2,132","285"
"2002","Boston, MA","4,173","43","100","850","3,180","3,235","567","2,452","213"
"2003","Boston, MA"
"2004","Boston, MA"
"2005","Boston, MA"
"2006","Boston, MA","4,363","32","78","937","3,316","3,199","690","2,391","116"
"2007","Boston, MA","4,108","27","68","857","3,156","3,117","690","2,252","170"
"2008","Boston, MA","4,238","28","49","933","3,228","3,153","698","2,374","81"
"2009","Boston, MA","4,045","21","57","848","3,119","2,764","580","2,065","115"
"2010","Boston, MA","3,544","25","49","656","2,814","2,583","563","1,905","110"
"2011","Boston, MA","3,217","22","49","639","2,507","2,521","563","1,828","127"
"2012","Boston, MA","3,132","29","50","579","2,474","2,336","508","1,746","80"
"2013","Boston, MA","~","24","~","532","2,201","2,409","516","1,788","103"
"2014","Boston, MA","~","19","~","590","2,303","2,614","514","1,962","135"
"2001","Detroit, MI","7,837","646","498","1,819","4,874","4,320","1,715","2,168","263"
"2002","Detroit, MI","7,014","493","328","1,409","4,784","4,117","1,716","2,072","190"
"2003","Detroit, MI"
"2004","Detroit, MI","5,956","349","297","1,164","4,146","3,524","1,525","1,676","193"
"2005","Detroit, MI","4,583","261","193","1,037","3,092","2,839","1,212","1,424","125"
"2006","Detroit, MI","3,858","123","72","1,015","2,648","4,544","1,282","1,147","2,064"
"2007","Detroit, MI","4,061","185","48","1,018","2,810","4,511","1,438","1,196","1,796"
"2008","Detroit, MI","3,320","81","43","914","2,282","4,099","1,679","1,029","1,346"
"2009","Detroit, MI","3,141","96","39","754","2,252","2,869","1,208","728","890"
"2010","Detroit, MI","3,298","49","52","821","2,376","2,566","1,099","738","679"
"2011","Detroit, MI","2,805","35","47","620","2,103","2,483","1,079","664","693"
"2012","Detroit, MI","2,364","33","45","550","1,736","2,037","921","508","570"
"2013","Detroit, MI","~","107","~","697","1,822","1,977","905","521","505"
"2014","Detroit, MI","~","170","~","458","2,024","1,408","582","404","369"
"2001","Minneapolis, MN"
"2002","Minneapolis, MN"
"2003","Minneapolis, MN"
"2004","Minneapolis, MN","1,457","46","136","432","843","2,321","355","1,315","633"
"2005","Minneapolis, MN","2,213","22","113","753","1,325","3,438","484","2,002","922"
"2007","Minneapolis, MN"
"2009","Minneapolis, MN","1,194","11","57","311","815","2,168","338","1,616","206"
"2010","Minneapolis, MN","1,095","22","56","275","742","2,032","269","1,576","171"
"2011","Minneapolis, MN","1,248","22","103","384","739","2,427","375","1,894","150"
"2012","Minneapolis, MN","1,828","32","159","538","1,099","3,758","484","3,055","204"
"2013","Minneapolis, MN","~","19","~","395","683","2,234","332","1,781","115"
"2014","Minneapolis, MN","~","37","~","405","678","2,316","307","1,850","144"
"2001","St. Paul, MN"
"2002","St. Paul, MN"
"2003","St. Paul, MN"
"2004","St. Paul, MN"
"2005","St. Paul, MN"
"2006","St. Paul, MN","1,060","13","36","246","765","1,666","450","677","453"
"2008","St. Paul, MN","1,095","20","51","286","738","2,181","314","1,477","352"
"2009","St. Paul, MN","1,018","33","54","253","678","2,255","258","1,736","234"
"2010","St. Paul, MN","1,004","22","58","200","724","2,086","314","1,531","219"
"2011","St. Paul, MN","861","10","49","204","598","2,256","261","1,746","216"
"2012","St. Paul, MN","1,308","19","62","298","929","2,842","404","2,094","326"
"2013","St. Paul, MN","~","14","~","227","597","1,948","246","1,451","237"
"2014","St. Paul, MN","~","9","~","171","525","1,806","199","1,321","275"
